sample_idx,iteration,adv_text,orig_text,iou
0,0,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9884391691394636
0,1,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be s declaezed onto the seafood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9881172619894668
0,2,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto theRulefood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9884421872033392
0,3,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9884391691394636
0,6,Seanavbarod dishes often include a tangy condiment that enhances the flavor. What item in the pictureemon be squeezed onto the seafood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9877852094302902
0,11,Seafood dishes often include anotationy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9881280273530226
0,13,Seafood dishes often include a Simpley condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9881268996960464
0,14,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture candataset squeezed onto the seafood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9880825202383472
0,15,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tang Put flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9882065397940272
0,18,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto findet seafood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9882336195853276
0,19,Seafood burgishes often include a tangy condiment]/ enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9881576761515984
0,21,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as junt tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9886277302943944
0,23,Seafood dishes often include aheady condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tang dol flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9882936790615924
0,24,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tang listopada flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9885546030916796
0,26,Seafood dishes often include a tangy condiment that enhances thepoqueor. What itemξ the picture can be squeezed onto the seafood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9878760558033572
0,28,Seafood dishes often include a tangy condiment that enhances the flavor. What item manner the picture can@ squeezed onto the seafood as a tangy flavor enhancer?,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9875480290308783
0,31,Seafood dishes often includemock tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the sea雲od as a tangy flavor enhancerupdate,Seafood dishes often include a tangy condiment that enhances the flavor. What item in the picture can be squeezed onto the seafood as a tangy flavor enhancer?,0.9878679962013271
